Job runs on node:
eu-g9-024-3
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=4
NUMMIDDLEQUBIT=2
EPOCHS=5000
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 4 -nt 2 -b 10 -e 5000 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
['runs/10/loss_train0', 'runs/10/loss_val0', 'runs/10/weights0']
Running AE with 4 input qubit and 2 trash qubit in batches of 10

Epoch 18, 	Batch:7, 	Train Loss = 0.441893, 	Val Loss = 0.314016
Epoch 19, 	Batch:0, 	Train Loss = 0.324473, 	Val Loss = 0.316583
Epoch 19, 	Batch:1, 	Train Loss = 0.347152, 	Val Loss = 0.316583
Epoch 19, 	Batch:2, 	Train Loss = 0.361572, 	Val Loss = 0.316583
Epoch 19, 	Batch:3, 	Train Loss = 0.370364, 	Val Loss = 0.316583
Epoch 19, 	Batch:4, 	Train Loss = 0.367576, 	Val Loss = 0.316583
Epoch 19, 	Batch:5, 	Train Loss = 0.371789, 	Val Loss = 0.316583
Epoch 19, 	Batch:6, 	Train Loss = 0.382879, 	Val Loss = 0.316583
Epoch 19, 	Batch:7, 	Train Loss = 0.367469, 	Val Loss = 0.316583
Epoch 20, 	Batch:0, 	Train Loss = 0.339202, 	Val Loss = 0.303791
Epoch 20, 	Batch:1, 	Train Loss = 0.389924, 	Val Loss = 0.303791
Epoch 20, 	Batch:2, 	Train Loss = 0.376679, 	Val Loss = 0.303791
Epoch 20, 	Batch:3, 	Train Loss = 0.381874, 	Val Loss = 0.303791
Epoch 20, 	Batch:4, 	Train Loss = 0.398265, 	Val Loss = 0.303791
Epoch 20, 	Batch:5, 	Train Loss = 0.396732, 	Val Loss = 0.303791
Epoch 20, 	Batch:6, 	Train Loss = 0.426958, 	Val Loss = 0.303791
Epoch 20, 	Batch:7, 	Train Loss = 0.423623, 	Val Loss = 0.303791
Epoch 21, 	Batch:0, 	Train Loss = 0.322405, 	Val Loss = 0.374869
Epoch 21, 	Batch:1, 	Train Loss = 0.345809, 	Val Loss = 0.374869
Epoch 21, 	Batch:2, 	Train Loss = 0.356860, 	Val Loss = 0.374869
Epoch 21, 	Batch:3, 	Train Loss = 0.370389, 	Val Loss = 0.374869
Epoch 21, 	Batch:4, 	Train Loss = 0.387963, 	Val Loss = 0.374869
Epoch 21, 	Batch:5, 	Train Loss = 0.401535, 	Val Loss = 0.374869
Epoch 21, 	Batch:6, 	Train Loss = 0.415539, 	Val Loss = 0.374869
Epoch 21, 	Batch:7, 	Train Loss = 0.400092, 	Val Loss = 0.374869
Epoch 22, 	Batch:0, 	Train Loss = 0.345875, 	Val Loss = 0.294832
Epoch 22, 	Batch:1, 	Train Loss = 0.385299, 	Val Loss = 0.294832
Epoch 22, 	Batch:2, 	Train Loss = 0.381663, 	Val Loss = 0.294832
Epoch 22, 	Batch:3, 	Train Loss = 0.389144, 	Val Loss = 0.294832
Epoch 22, 	Batch:4, 	Train Loss = 0.397428, 	Val Loss = 0.294832
Epoch 22, 	Batch:5, 	Train Loss = 0.391857, 	Val Loss = 0.294832
Epoch 22, 	Batch:6, 	Train Loss = 0.405553, 	Val Loss = 0.294832
Epoch 22, 	Batch:7, 	Train Loss = 0.387697, 	Val Loss = 0.294832
Epoch 23, 	Batch:0, 	Train Loss = 0.324268, 	Val Loss = 0.318200
Epoch 23, 	Batch:1, 	Train Loss = 0.365836, 	Val Loss = 0.318200
Epoch 23, 	Batch:2, 	Train Loss = 0.340853, 	Val Loss = 0.318200
Epoch 23, 	Batch:3, 	Train Loss = 0.341939, 	Val Loss = 0.318200
Epoch 23, 	Batch:4, 	Train Loss = 0.333845, 	Val Loss = 0.318200
Epoch 23, 	Batch:5, 	Train Loss = 0.328533, 	Val Loss = 0.318200
Epoch 23, 	Batch:6, 	Train Loss = 0.357458, 	Val Loss = 0.318200
Epoch 23, 	Batch:7, 	Train Loss = 0.348662, 	Val Loss = 0.318200
Epoch 24, 	Batch:0, 	Train Loss = 0.405911, 	Val Loss = 0.355572
Epoch 24, 	Batch:1, 	Train Loss = 0.418286, 	Val Loss = 0.355572
Epoch 24, 	Batch:2, 	Train Loss = 0.423665, 	Val Loss = 0.355572
Epoch 24, 	Batch:3, 	Train Loss = 0.415170, 	Val Loss = 0.355572
Epoch 24, 	Batch:4, 	Train Loss = 0.415048, 	Val Loss = 0.355572
Epoch 24, 	Batch:5, 	Train Loss = 0.414740, 	Val Loss = 0.355572
Epoch 24, 	Batch:6, 	Train Loss = 0.437575, 	Val Loss = 0.355572
Epoch 24, 	Batch:7, 	Train Loss = 0.430093, 	Val Loss = 0.355572
Epoch 25, 	Batch:0, 	Train Loss = 0.423456, 	Val Loss = 0.485110
Epoch 25, 	Batch:1, 	Train Loss = 0.387304, 	Val Loss = 0.485110
Epoch 25, 	Batch:2, 	Train Loss = 0.376483, 	Val Loss = 0.485110
Epoch 25, 	Batch:3, 	Train Loss = 0.395541, 	Val Loss = 0.485110
Epoch 25, 	Batch:4, 	Train Loss = 0.389927, 	Val Loss = 0.485110
Epoch 25, 	Batch:5, 	Train Loss = 0.389602, 	Val Loss = 0.485110
Epoch 25, 	Batch:6, 	Train Loss = 0.404724, 	Val Loss = 0.485110
Epoch 25, 	Batch:7, 	Train Loss = 0.396922, 	Val Loss = 0.485110
Epoch 26, 	Batch:0, 	Train Loss = 0.558303, 	Val Loss = 0.551796
Epoch 26, 	Batch:1, 	Train Loss = 0.493032, 	Val Loss = 0.551796
Epoch 26, 	Batch:2, 	Train Loss = 0.421374, 	Val Loss = 0.551796
Epoch 26, 	Batch:3, 	Train Loss = 0.421919, 	Val Loss = 0.551796
Epoch 26, 	Batch:4, 	Train Loss = 0.417180, 	Val Loss = 0.551796
Epoch 26, 	Batch:5, 	Train Loss = 0.415268, 	Val Loss = 0.551796
Epoch 26, 	Batch:6, 	Train Loss = 0.426779, 	Val Loss = 0.551796
Epoch 26, 	Batch:7, 	Train Loss = 0.400545, 	Val Loss = 0.551796
Epoch 27, 	Batch:0, 	Train Loss = 0.434312, 	Val Loss = 0.351176
Epoch 27, 	Batch:1, 	Train Loss = 0.391519, 	Val Loss = 0.351176
Epoch 27, 	Batch:2, 	Train Loss = 0.373632, 	Val Loss = 0.351176
Epoch 27, 	Batch:3, 	Train Loss = 0.400496, 	Val Loss = 0.351176
Epoch 27, 	Batch:4, 	Train Loss = 0.437992, 	Val Loss = 0.351176
Epoch 27, 	Batch:5, 	Train Loss = 0.446715, 	Val Loss = 0.351176
Epoch 27, 	Batch:6, 	Train Loss = 0.451775, 	Val Loss = 0.351176
Epoch 27, 	Batch:7, 	Train Loss = 0.457882, 	Val Loss = 0.351176
Epoch 28, 	Batch:0, 	Train Loss = 0.503822, 	Val Loss = 0.459010
Epoch 28, 	Batch:1, 	Train Loss = 0.447044, 	Val Loss = 0.459010
Epoch 28, 	Batch:2, 	Train Loss = 0.413488, 	Val Loss = 0.459010
Epoch 28, 	Batch:3, 	Train Loss = 0.419344, 	Val Loss = 0.459010
Epoch 28, 	Batch:4, 	Train Loss = 0.414119, 	Val Loss = 0.459010
Epoch 28, 	Batch:5, 	Train Loss = 0.393368, 	Val Loss = 0.459010
Epoch 28, 	Batch:6, 	Train Loss = 0.406313, 	Val Loss = 0.459010
Epoch 28, 	Batch:7, 	Train Loss = 0.408461, 	Val Loss = 0.459010
Epoch 29, 	Batch:0, 	Train Loss = 0.295281, 	Val Loss = 0.288687
Epoch 29, 	Batch:1, 	Train Loss = 0.319025, 	Val Loss = 0.288687
Epoch 29, 	Batch:2, 	Train Loss = 0.341008, 	Val Loss = 0.288687
Epoch 29, 	Batch:3, 	Train Loss = 0.354364, 	Val Loss = 0.288687
Epoch 29, 	Batch:4, 	Train Loss = 0.335093, 	Val Loss = 0.288687
Epoch 29, 	Batch:5, 	Train Loss = 0.342152, 	Val Loss = 0.288687
Epoch 29, 	Batch:6, 	Train Loss = 0.364459, 	Val Loss = 0.288687
Epoch 29, 	Batch:7, 	Train Loss = 0.349067, 	Val Loss = 0.288687
Epoch 30, 	Batch:0, 	Train Loss = 0.351168, 	Val Loss = 0.313050
Epoch 30, 	Batch:1, 	Train Loss = 0.356477, 	Val Loss = 0.313050
Epoch 30, 	Batch:2, 	Train Loss = 0.334361, 	Val Loss = 0.313050
Epoch 30, 	Batch:3, 	Train Loss = 0.333199, 	Val Loss = 0.313050
Epoch 30, 	Batch:4, 	Train Loss = 0.350309, 	Val Loss = 0.313050
Epoch 30, 	Batch:5, 	Train Loss = 0.374906, 	Val Loss = 0.313050
Epoch 30, 	Batch:6, 	Train Loss = 0.386214, 	Val Loss = 0.313050
Epoch 30, 	Batch:7, 	Train Loss = 0.377753, 	Val Loss = 0.313050
Epoch 31, 	Batch:0, 	Train Loss = 0.448137, 	Val Loss = 0.560429
Epoch 31, 	Batch:1, 	Train Loss = 0.514850, 	Val Loss = 0.560429
Epoch 31, 	Batch:2, 	Train Loss = 0.576696, 	Val Loss = 0.560429
Epoch 31, 	Batch:3, 	Train Loss = 0.588589, 	Val Loss = 0.560429
Epoch 31, 	Batch:4, 	Train Loss = 0.545362, 	Val Loss = 0.560429
Epoch 31, 	Batch:5, 	Train Loss = 0.524526, 	Val Loss = 0.560429
Epoch 31, 	Batch:6, 	Train Loss = 0.538948, 	Val Loss = 0.560429
Epoch 31, 	Batch:7, 	Train Loss = 0.538751, 	Val Loss = 0.560429
Epoch 32, 	Batch:0, 	Train Loss = 0.526988, 	Val Loss = 0.634108
Epoch 32, 	Batch:1, 	Train Loss = 0.492405, 	Val Loss = 0.634108
Epoch 32, 	Batch:2, 	Train Loss = 0.482201, 	Val Loss = 0.634108
Epoch 32, 	Batch:3, 	Train Loss = 0.480016, 	Val Loss = 0.634108
Epoch 32, 	Batch:4, 	Train Loss = 0.473475, 	Val Loss = 0.634108
