Job runs on node:
eu-g5-047-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=50
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 10 -e 50 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
Running AE with 8 input qubit and 1 trash qubit in batches of 10

Epoch 12, 	Batch:5, 	Train Loss = 0.212665, 	Val Loss = 0.237780
Epoch 12, 	Batch:6, 	Train Loss = 0.204646, 	Val Loss = 0.237780
Epoch 12, 	Batch:7, 	Train Loss = 0.215683, 	Val Loss = 0.237780
Epoch 13, 	Batch:0, 	Train Loss = 0.261820, 	Val Loss = 0.293482
Epoch 13, 	Batch:1, 	Train Loss = 0.246963, 	Val Loss = 0.293482
Epoch 13, 	Batch:2, 	Train Loss = 0.223770, 	Val Loss = 0.293482
Epoch 13, 	Batch:3, 	Train Loss = 0.222442, 	Val Loss = 0.293482
Epoch 13, 	Batch:4, 	Train Loss = 0.215199, 	Val Loss = 0.293482
Epoch 13, 	Batch:5, 	Train Loss = 0.214464, 	Val Loss = 0.293482
Epoch 13, 	Batch:6, 	Train Loss = 0.197071, 	Val Loss = 0.293482
Epoch 13, 	Batch:7, 	Train Loss = 0.191900, 	Val Loss = 0.293482
Epoch 14, 	Batch:0, 	Train Loss = 0.243488, 	Val Loss = 0.248200
Epoch 14, 	Batch:1, 	Train Loss = 0.222733, 	Val Loss = 0.248200
Epoch 14, 	Batch:2, 	Train Loss = 0.196558, 	Val Loss = 0.248200
Epoch 14, 	Batch:3, 	Train Loss = 0.189335, 	Val Loss = 0.248200
