Job runs on node:
eu-g9-040-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=8
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=1
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 8 -e 300 -v 0.2 -sz 0.2 -of 'runs/ed' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 17, 	Batch:4, 	Train Loss = 0.193492, 	Val Loss = 0.172228
Epoch 17, 	Batch:5, 	Train Loss = 0.176110, 	Val Loss = 0.172228
Epoch 17, 	Batch:6, 	Train Loss = 0.168372, 	Val Loss = 0.172228
Epoch 17, 	Batch:7, 	Train Loss = 0.162224, 	Val Loss = 0.172228
Epoch 17, 	Batch:8, 	Train Loss = 0.160155, 	Val Loss = 0.172228
Epoch 17, 	Batch:9, 	Train Loss = 0.159614, 	Val Loss = 0.172228
Epoch 18, 	Batch:0, 	Train Loss = 0.118479, 	Val Loss = 0.132894
Epoch 18, 	Batch:1, 	Train Loss = 0.128501, 	Val Loss = 0.132894
Epoch 18, 	Batch:2, 	Train Loss = 0.150703, 	Val Loss = 0.132894
Epoch 18, 	Batch:3, 	Train Loss = 0.152585, 	Val Loss = 0.132894
Epoch 18, 	Batch:4, 	Train Loss = 0.160896, 	Val Loss = 0.132894
Epoch 18, 	Batch:5, 	Train Loss = 0.170978, 	Val Loss = 0.132894
Epoch 18, 	Batch:6, 	Train Loss = 0.168070, 	Val Loss = 0.132894
Epoch 18, 	Batch:7, 	Train Loss = 0.158495, 	Val Loss = 0.132894
Epoch 18, 	Batch:8, 	Train Loss = 0.153600, 	Val Loss = 0.132894
Epoch 18, 	Batch:9, 	Train Loss = 0.141519, 	Val Loss = 0.132894
Epoch 19, 	Batch:0, 	Train Loss = 0.188704, 	Val Loss = 0.104511
Epoch 19, 	Batch:1, 	Train Loss = 0.150387, 	Val Loss = 0.104511
Epoch 19, 	Batch:2, 	Train Loss = 0.157095, 	Val Loss = 0.104511
Epoch 19, 	Batch:3, 	Train Loss = 0.139469, 	Val Loss = 0.104511
Epoch 19, 	Batch:4, 	Train Loss = 0.139702, 	Val Loss = 0.104511
Epoch 19, 	Batch:5, 	Train Loss = 0.137568, 	Val Loss = 0.104511
Epoch 19, 	Batch:6, 	Train Loss = 0.143583, 	Val Loss = 0.104511
Epoch 19, 	Batch:7, 	Train Loss = 0.152769, 	Val Loss = 0.104511
Epoch 19, 	Batch:8, 	Train Loss = 0.145666, 	Val Loss = 0.104511
Epoch 19, 	Batch:9, 	Train Loss = 0.147450, 	Val Loss = 0.104511
Epoch 20, 	Batch:0, 	Train Loss = 0.126604, 	Val Loss = 0.128322
Epoch 20, 	Batch:1, 	Train Loss = 0.139760, 	Val Loss = 0.128322
Epoch 20, 	Batch:2, 	Train Loss = 0.129508, 	Val Loss = 0.128322
Epoch 20, 	Batch:3, 	Train Loss = 0.136314, 	Val Loss = 0.128322
Epoch 20, 	Batch:4, 	Train Loss = 0.144313, 	Val Loss = 0.128322
Epoch 20, 	Batch:5, 	Train Loss = 0.138873, 	Val Loss = 0.128322
Epoch 20, 	Batch:6, 	Train Loss = 0.124146, 	Val Loss = 0.128322
Epoch 20, 	Batch:7, 	Train Loss = 0.127865, 	Val Loss = 0.128322
Epoch 20, 	Batch:8, 	Train Loss = 0.117848, 	Val Loss = 0.128322
Epoch 20, 	Batch:9, 	Train Loss = 0.120011, 	Val Loss = 0.128322
Epoch 21, 	Batch:0, 	Train Loss = 0.080373, 	Val Loss = 0.108714
Epoch 21, 	Batch:1, 	Train Loss = 0.087696, 	Val Loss = 0.108714
Epoch 21, 	Batch:2, 	Train Loss = 0.105798, 	Val Loss = 0.108714
Epoch 21, 	Batch:3, 	Train Loss = 0.109825, 	Val Loss = 0.108714
Epoch 21, 	Batch:4, 	Train Loss = 0.113770, 	Val Loss = 0.108714
Epoch 21, 	Batch:5, 	Train Loss = 0.114682, 	Val Loss = 0.108714
Epoch 21, 	Batch:6, 	Train Loss = 0.111975, 	Val Loss = 0.108714
Epoch 21, 	Batch:7, 	Train Loss = 0.117913, 	Val Loss = 0.108714
Epoch 21, 	Batch:8, 	Train Loss = 0.119933, 	Val Loss = 0.108714
Epoch 21, 	Batch:9, 	Train Loss = 0.121887, 	Val Loss = 0.108714
Epoch 22, 	Batch:0, 	Train Loss = 0.084900, 	Val Loss = 0.101173
Epoch 22, 	Batch:1, 	Train Loss = 0.100498, 	Val Loss = 0.101173
Epoch 22, 	Batch:2, 	Train Loss = 0.103011, 	Val Loss = 0.101173
Epoch 22, 	Batch:3, 	Train Loss = 0.104913, 	Val Loss = 0.101173
Epoch 22, 	Batch:4, 	Train Loss = 0.108705, 	Val Loss = 0.101173
Epoch 22, 	Batch:5, 	Train Loss = 0.111384, 	Val Loss = 0.101173
