Job runs on node:
eu-g9-013-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=2500
OPTSTEP=0.2
BATCHSIZE=100
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 100 -e 2500 -v 0.2 -sz 0.2 -of 'runs/ee' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 117, 	Batch:0, 	Train Loss = 0.043171, 	Val Loss = 0.050108
Epoch 118, 	Batch:0, 	Train Loss = 0.051623, 	Val Loss = 0.055385
Epoch 119, 	Batch:0, 	Train Loss = 0.029311, 	Val Loss = 0.035453
Epoch 120, 	Batch:0, 	Train Loss = 0.043210, 	Val Loss = 0.051391
Epoch 121, 	Batch:0, 	Train Loss = 0.026247, 	Val Loss = 0.032694
Epoch 122, 	Batch:0, 	Train Loss = 0.043769, 	Val Loss = 0.046919
Epoch 123, 	Batch:0, 	Train Loss = 0.051704, 	Val Loss = 0.059930
Epoch 124, 	Batch:0, 	Train Loss = 0.064219, 	Val Loss = 0.075372
Epoch 125, 	Batch:0, 	Train Loss = 0.042778, 	Val Loss = 0.049465
Epoch 126, 	Batch:0, 	Train Loss = 0.076243, 	Val Loss = 0.080675
Epoch 127, 	Batch:0, 	Train Loss = 0.051063, 	Val Loss = 0.059176
Epoch 128, 	Batch:0, 	Train Loss = 0.063305, 	Val Loss = 0.072502
Epoch 129, 	Batch:0, 	Train Loss = 0.036133, 	Val Loss = 0.043206
Epoch 130, 	Batch:0, 	Train Loss = 0.057398, 	Val Loss = 0.059350
Epoch 131, 	Batch:0, 	Train Loss = 0.057356, 	Val Loss = 0.063446
Epoch 132, 	Batch:0, 	Train Loss = 0.069655, 	Val Loss = 0.078533
Epoch 133, 	Batch:0, 	Train Loss = 0.055634, 	Val Loss = 0.061861
Epoch 134, 	Batch:0, 	Train Loss = 0.064965, 	Val Loss = 0.069616
Epoch 135, 	Batch:0, 	Train Loss = 0.064952, 	Val Loss = 0.074700
Epoch 136, 	Batch:0, 	Train Loss = 0.092960, 	Val Loss = 0.101106
Epoch 137, 	Batch:0, 	Train Loss = 0.079921, 	Val Loss = 0.087921
Epoch 138, 	Batch:0, 	Train Loss = 0.049152, 	Val Loss = 0.052188
Epoch 139, 	Batch:0, 	Train Loss = 0.048202, 	Val Loss = 0.052645
Epoch 140, 	Batch:0, 	Train Loss = 0.049135, 	Val Loss = 0.053642
Epoch 141, 	Batch:0, 	Train Loss = 0.065916, 	Val Loss = 0.072423
Epoch 142, 	Batch:0, 	Train Loss = 0.072644, 	Val Loss = 0.079957
Epoch 143, 	Batch:0, 	Train Loss = 0.063098, 	Val Loss = 0.069519
Epoch 144, 	Batch:0, 	Train Loss = 0.058227, 	Val Loss = 0.065064
Epoch 145, 	Batch:0, 	Train Loss = 0.066904, 	Val Loss = 0.078463
Epoch 146, 	Batch:0, 	Train Loss = 0.049348, 	Val Loss = 0.053780
Epoch 147, 	Batch:0, 	Train Loss = 0.054328, 	Val Loss = 0.062731
Epoch 148, 	Batch:0, 	Train Loss = 0.053360, 	Val Loss = 0.063440
Epoch 149, 	Batch:0, 	Train Loss = 0.072994, 	Val Loss = 0.080741
Epoch 150, 	Batch:0, 	Train Loss = 0.052913, 	Val Loss = 0.060144
Epoch 151, 	Batch:0, 	Train Loss = 0.049249, 	Val Loss = 0.060466
Epoch 152, 	Batch:0, 	Train Loss = 0.044797, 	Val Loss = 0.054605
Epoch 153, 	Batch:0, 	Train Loss = 0.045617, 	Val Loss = 0.056978
Epoch 154, 	Batch:0, 	Train Loss = 0.059424, 	Val Loss = 0.065461
Epoch 155, 	Batch:0, 	Train Loss = 0.037389, 	Val Loss = 0.044193
Epoch 156, 	Batch:0, 	Train Loss = 0.073066, 	Val Loss = 0.084371
Epoch 157, 	Batch:0, 	Train Loss = 0.040775, 	Val Loss = 0.050723
Epoch 158, 	Batch:0, 	Train Loss = 0.079343, 	Val Loss = 0.085023
Epoch 159, 	Batch:0, 	Train Loss = 0.077468, 	Val Loss = 0.083154
Epoch 160, 	Batch:0, 	Train Loss = 0.049329, 	Val Loss = 0.056612
Epoch 161, 	Batch:0, 	Train Loss = 0.069494, 	Val Loss = 0.078323
Epoch 162, 	Batch:0, 	Train Loss = 0.037889, 	Val Loss = 0.042042
Epoch 163, 	Batch:0, 	Train Loss = 0.046635, 	Val Loss = 0.045386
Epoch 164, 	Batch:0, 	Train Loss = 0.036980, 	Val Loss = 0.039157
Epoch 165, 	Batch:0, 	Train Loss = 0.036603, 	Val Loss = 0.043035
Epoch 166, 	Batch:0, 	Train Loss = 0.034670, 	Val Loss = 0.040975
Epoch 167, 	Batch:0, 	Train Loss = 0.039704, 	Val Loss = 0.045821
Epoch 168, 	Batch:0, 	Train Loss = 0.033194, 	Val Loss = 0.041497
Epoch 169, 	Batch:0, 	Train Loss = 0.027177, 	Val Loss = 0.033681
Epoch 170, 	Batch:0, 	Train Loss = 0.026302, 	Val Loss = 0.031446
Epoch 171, 	Batch:0, 	Train Loss = 0.030382, 	Val Loss = 0.033870
Epoch 172, 	Batch:0, 	Train Loss = 0.025159, 	Val Loss = 0.032274
Epoch 173, 	Batch:0, 	Train Loss = 0.030097, 	Val Loss = 0.041386
Epoch 174, 	Batch:0, 	Train Loss = 0.031162, 	Val Loss = 0.041012
Epoch 175, 	Batch:0, 	Train Loss = 0.024033, 	Val Loss = 0.035607
Epoch 176, 	Batch:0, 	Train Loss = 0.028423, 	Val Loss = 0.040979
Epoch 177, 	Batch:0, 	Train Loss = 0.064486, 	Val Loss = 0.068392
Epoch 178, 	Batch:0, 	Train Loss = 0.025705, 	Val Loss = 0.032161
Epoch 179, 	Batch:0, 	Train Loss = 0.050739, 	Val Loss = 0.063699
Epoch 180, 	Batch:0, 	Train Loss = 0.031057, 	Val Loss = 0.041596
Epoch 181, 	Batch:0, 	Train Loss = 0.025540, 	Val Loss = 0.036170
Epoch 182, 	Batch:0, 	Train Loss = 0.049365, 	Val Loss = 0.062754
Epoch 183, 	Batch:0, 	Train Loss = 0.030261, 	Val Loss = 0.036094
Epoch 184, 	Batch:0, 	Train Loss = 0.027545, 	Val Loss = 0.034040
Epoch 185, 	Batch:0, 	Train Loss = 0.033223, 	Val Loss = 0.044536
Epoch 186, 	Batch:0, 	Train Loss = 0.052280, 	Val Loss = 0.061480
Epoch 187, 	Batch:0, 	Train Loss = 0.031613, 	Val Loss = 0.041504
Epoch 188, 	Batch:0, 	Train Loss = 0.072549, 	Val Loss = 0.084701
Epoch 189, 	Batch:0, 	Train Loss = 0.036818, 	Val Loss = 0.048023
Epoch 190, 	Batch:0, 	Train Loss = 0.097723, 	Val Loss = 0.100236
Epoch 191, 	Batch:0, 	Train Loss = 0.109028, 	Val Loss = 0.110548
Epoch 192, 	Batch:0, 	Train Loss = 0.031557, 	Val Loss = 0.037401
Epoch 193, 	Batch:0, 	Train Loss = 0.095463, 	Val Loss = 0.105167
Epoch 194, 	Batch:0, 	Train Loss = 0.099013, 	Val Loss = 0.107601
Epoch 195, 	Batch:0, 	Train Loss = 0.031374, 	Val Loss = 0.035917
Epoch 196, 	Batch:0, 	Train Loss = 0.081134, 	Val Loss = 0.081400
Epoch 197, 	Batch:0, 	Train Loss = 0.065868, 	Val Loss = 0.066940
Epoch 198, 	Batch:0, 	Train Loss = 0.053553, 	Val Loss = 0.061241
Epoch 199, 	Batch:0, 	Train Loss = 0.055781, 	Val Loss = 0.064224
Epoch 200, 	Batch:0, 	Train Loss = 0.044310, 	Val Loss = 0.047511
Epoch 201, 	Batch:0, 	Train Loss = 0.060091, 	Val Loss = 0.062601
Epoch 202, 	Batch:0, 	Train Loss = 0.037402, 	Val Loss = 0.045176
Epoch 203, 	Batch:0, 	Train Loss = 0.069960, 	Val Loss = 0.079889
Epoch 204, 	Batch:0, 	Train Loss = 0.038038, 	Val Loss = 0.046982
Epoch 205, 	Batch:0, 	Train Loss = 0.058837, 	Val Loss = 0.064480
Epoch 206, 	Batch:0, 	Train Loss = 0.046569, 	Val Loss = 0.051587
Epoch 207, 	Batch:0, 	Train Loss = 0.077409, 	Val Loss = 0.088067
Epoch 208, 	Batch:0, 	Train Loss = 0.075041, 	Val Loss = 0.086450
Epoch 209, 	Batch:0, 	Train Loss = 0.033625, 	Val Loss = 0.041637
